siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
FL41,10,2020,100,100,100,.104,.075,.034,.573,.130,.411,1.053,.495,5.368,7.924,6373.000,9.449,5,35,"Sep 29 2020 12:00AM","Nov  3 2020 12:00AM"
FL41,11,2020,81,100,95,.059,.118,.050,.995,.040,.158,1.839,.502,5.215,10.355,8401.600,13.005,3,26,"Nov  3 2020 12:00AM","Dec  1 2020 12:00AM"
FL41,12,2020,88,88,100,.080,.043,.018,.326,.105,.327,.611,.654,4.988,8.413,2996.600,4.369,4,32,"Dec  1 2020 12:00AM","Dec 29 2020 12:00AM"
FL41,2,2020,100,100,100,.099,.073,.039,.569,.094,.350,1.023,.588,5.237,8.516,3372.000,4.951,4,28,"Feb  4 2020 12:00AM","Mar  3 2020 12:00AM"
FL41,3,2020,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,2.184,0,28,"Mar  3 2020 12:00AM","Mar 31 2020 12:00AM"
FL41,4,2020,66,88,97,.092,.052,.059,.405,.476,.679,.723,.809,5.456,8.856,11067.000,19.329,3,32,"Mar 31 2020 12:00AM","Apr 28 2020 12:00AM"
FL41,5,2020,100,100,100,.132,.046,.031,.321,.274,.767,.573,.510,5.369,7.305,10131.100,16.713,5,31,"Apr 28 2020 12:00AM","Jun  2 2020 12:00AM"
FL41,6,2020,75,100,98,.110,.042,.018,.287,.129,.490,.507,.413,5.440,6.031,18535.700,29.743,3,28,"Jun  2 2020 12:00AM","Jun 30 2020 12:00AM"
FL41,7,2020,100,100,100,.189,.054,.023,.334,.103,.765,.615,.518,5.137,7.977,9012.400,15.164,5,34,"Jun 30 2020 12:00AM","Aug  4 2020 12:00AM"
FL41,8,2020,100,100,100,.110,.037,.015,.246,.070,.660,.451,.447,4.950,7.803,13078.000,19.050,4,26,"Aug  4 2020 12:00AM","Sep  1 2020 12:00AM"
FL41,9,2020,93,93,100,.103,.023,.011,.122,.058,.341,.205,.261,5.361,4.245,16380.600,25.222,4,30,"Sep  1 2020 12:00AM","Sep 29 2020 12:00AM"
FL41,1,2021,60,100,60,.117,.131,.051,1.042,.101,.537,1.909,.894,4.905,14.733,795.900,2.286,2,35,"Dec 29 2020 12:20PM","Feb  2 2021 10:00AM"
FL41,10,2021,58,100,18,.285,.079,.030,.518,.095,.647,.961,.831,5.180,9.000,930.300,7.518,1,34,"Sep 29 2021  9:00AM","Nov  2 2021  9:00AM"
FL41,11,2021,100,100,100,.076,.052,.020,.410,.058,.467,.708,.469,4.971,8.512,3337.200,5.131,3,28,"Nov  2 2021  9:00AM","Nov 30 2021  9:55AM"
FL41,12,2021,74,100,5,.757,.126,.107,.728,.173,1.410,1.482,.978,5.210,16.300,72.900,2.464,1,28,"Nov 30 2021  9:55AM","Dec 28 2021 11:50AM"
FL41,2,2021,100,100,100,.095,.102,.048,.828,.099,.349,1.567,.691,5.126,10.501,3551.600,5.664,3,28,"Feb  2 2021 10:00AM","Mar  2 2021 10:00AM"
FL41,3,2021,100,100,100,.233,.066,.042,.482,.275,.842,.849,.771,5.230,9.911,6770.100,9.982,3,28,"Mar  2 2021 10:00AM","Mar 30 2021  9:00AM"
FL41,4,2021,100,100,100,.232,.080,.050,.676,.279,.683,1.220,.987,5.185,11.210,7856.400,11.836,4,35,"Mar 30 2021  9:00AM","May  4 2021  9:00AM"
FL41,5,2021,100,100,93,.218,.065,.047,.588,.372,1.234,1.080,.727,5.220,10.900,300.400,.475,1,28,"May  4 2021  9:00AM","Jun  1 2021  8:55AM"
FL41,6,2021,100,100,100,.092,.037,.017,.299,.117,.513,.516,.307,5.324,5.626,15524.400,22.798,4,27,"Jun  1 2021  8:55AM","Jun 28 2021  9:20PM"
FL41,7,2021,100,100,100,.045,.024,.027,.184,.051,.296,.328,.200,5.339,4.193,18926.300,28.575,4,36,"Jun 28 2021  9:20PM","Aug  3 2021  9:00AM"
FL41,8,2021,66,100,73,.074,.037,.017,.239,.050,.505,.413,.318,5.076,6.390,14807.500,30.232,3,28,"Aug  3 2021  9:00AM","Aug 31 2021  9:00AM"
FL41,9,2021,100,100,100,.138,.036,.020,.220,.073,.462,.379,.345,5.294,5.267,10096.900,15.113,4,29,"Aug 31 2021  9:00AM","Sep 29 2021  9:00AM"
FL41,1,2022,60,100,95,.264,.371,.128,3.128,.216,.737,5.567,2.083,4.661,34.221,2026.200,3.378,2,35,"Dec 28 2021 11:50AM","Feb  1 2022  9:55AM"
FL41,10,2022,75,100,57,.183,.050,.024,.317,.146,.738,.540,.664,5.110,8.300,1069.500,2.794,1,28,"Oct  4 2022 12:45PM","Nov  1 2022  9:00AM"
FL41,11,2022,74,100,98,.054,.067,.025,.552,.031,.167,1.024,.285,5.237,7.002,6304.000,9.677,3,28,"Nov  1 2022  9:00AM","Nov 29 2022 10:00AM"
FL41,12,2022,39,99,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,3.700,6.807,0,35,"Nov 29 2022 10:00AM","Jan  3 2023 11:50AM"
FL41,2,2022,100,100,97,.087,.025,.020,.192,.145,.516,.353,.707,4.960,7.200,1254.700,2.007,1,28,"Feb  1 2022  9:55AM","Mar  1 2022  9:55AM"
FL41,3,2022,100,100,100,.261,.108,.054,.751,.121,.451,1.372,.604,5.384,10.054,2400.000,3.708,4,28,"Mar  1 2022  9:55AM","Mar 29 2022  9:00AM"
FL41,4,2022,79,100,99,.330,.081,.042,.462,.331,.891,.826,.702,5.618,9.217,9985.100,15.621,4,35,"Mar 29 2022  9:00AM","May  3 2022  9:00AM"
FL41,5,2022,75,100,81,.107,.049,.028,.361,.156,.460,.635,.442,5.394,6.417,3581.900,6.528,2,28,"May  3 2022  9:00AM","May 31 2022  9:00AM"
FL41,6,2022,100,100,100,.206,.043,.025,.264,.209,.951,.445,.494,5.336,7.443,13724.200,20.447,4,28,"May 31 2022  9:00AM","Jun 28 2022 11:00AM"
FL41,7,2022,100,100,100,.147,.037,.020,.233,.103,.697,.410,.342,5.144,6.617,8187.400,11.887,5,35,"Jun 28 2022 11:00AM","Aug  2 2022 10:30AM"
FL41,8,2022,100,100,100,.128,.027,.022,.157,.067,.637,.275,.301,5.096,5.978,12617.200,18.644,4,28,"Aug  2 2022 10:30AM","Aug 30 2022  9:05AM"
FL41,9,2022,100,100,100,.140,.044,.032,.078,.028,.234,.139,.164,5.347,3.955,31308.000,51.562,5,35,"Aug 30 2022  9:05AM","Oct  4 2022 12:45PM"
